x,y
"[1, 1, 1, 1, 1]",7120.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7030.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7060.0
"[1, 1, 1, 1, 1]",7030.0
